poll,item,raw,lca,standard,lca_converged,gof_p_value
BTP 2007,item2,0.08305647840531562,0.09634565840237161,0.08527131782945734,TRUE,0.17970954066680123
BTP 2007,item3,0.08305647840531562,0.09573607851307632,0.09745293466223699,TRUE,0.0011853341066986591
BTP 2007,item4,0.21926910299003322,0.22148397085203975,0.22369878183831676,TRUE,0.5807578692481108
BTP 2007,item5,0.2159468438538206,0.25556825933622807,0.2668881506090809,TRUE,0.724159296510846
BTP 2007,item6,0.046511627906976744,0.06378734620435743,0.060908084163898146,TRUE,0.3345233539802966
BTP 2007,item7,0.15282392026578073,0.16362227961191086,0.15614617940199335,TRUE,0.16540092838135756
BTP 2007,item8,0.0664451827242525,0.08401545521353035,0.07087486157253593,TRUE,0.015847016027039678
Bulgaria,item1,0.017985611510791366,0.008090066133328508,-0.039568345323741004,TRUE,0.0012715409038216443
Bulgaria,item2,0.01079136690647482,0.036458101062464165,-0.025179856115107913,TRUE,0.3588153796403582
Bulgaria,item3,0.06474820143884892,0.06087159767629911,0.0539568345323741,TRUE,0.7533906356110665
Bulgaria,item4,0.3381294964028777,0.3621129512525578,0.420863309352518,TRUE,0.24229074285174132
Bulgaria,item5,0.025179856115107913,0.04859103550582184,0.014388489208633094,TRUE,0.21411409335362908
Bulgaria,item6,0.0683453237410072,0.04426024197965015,0.02877697841726619,TRUE,0.16523206779081698
Bulgaria,item7,0.12589928057553956,0.014886571550072003,0.07194244604316546,TRUE,0.6648654118308744
California Referendum,item1,0.14463840399002495,0.19451437095035934,0.16920385603156293,TRUE,0.0454998540928415
California Referendum,item2,0.18703241895261846,0.22923463250454285,0.20054341757546437,TRUE,0.521691819158214
California Referendum,item3,0.30174563591022446,0.4342289311045625,0.33000831255195345,TRUE,0.2882550365097603
California Referendum,item4,0.3790523690773067,0.5459085768632952,0.41729010806317535,TRUE,0.9520916718837134
California Referendum,item5,0.04239401496259352,0.02718777525978106,0.038237738985868686,TRUE,0.26348985835788735
CPL,item1,0.48148148148148145,0.5386241252184922,0.5260326352763328,TRUE,0.10906817468198728
CPL,item2,0.018518518518518517,0.04313963242528528,0.009273141207174197,TRUE,0.5111639311105127
CPL,item3,-0.027777777777777776,2.125048395662517e-7,-0.09018407462935196,TRUE,0.034862406324122915
CPL,item4,0.12962962962962962,0.13611421105631533,0.13194097395746562,TRUE,0.5581831225483243
CPL,item5,0.49537037037037035,0.5013228648792676,0.5,TRUE,0.778159482095009
CPL,item6,0.10648148148148148,0.10783179129511902,0.1281116297160638,TRUE,0.2798946464123282
CPL,item7,-0.0787037037037037,3.862199776199103e-8,-0.11921296296296297,TRUE,8.815493821367461e-5
Denmark,item1,0.36639118457300274,0.5573917424477745,0.4379091446012532,TRUE,0.015677653613934018
Denmark,item2,0.06887052341597796,0.13475778085417028,0.07849794111208859,TRUE,0.372917967004405
Denmark,item3,0.17079889807162535,0.2739865991121825,0.2231404958677686,TRUE,0.9556856547886678
Denmark,item4,0.36363636363636365,0.45117828606532573,0.41138659320477505,TRUE,0.22907759571637346
Denmark,item5,0.05785123966942149,0.08253467364415569,0.06427915518824605,TRUE,0.23731060941442814
Denmark,item6,0.3856749311294766,0.7592279187579313,0.4894398530762167,TRUE,0.7805107035898752
Denmark,item7,0.1349862258953168,0.4501384947811862,0.27823691460055094,TRUE,0.490690134523894
Denmark,item8,0.2699724517906336,0.3874575732356883,0.509641873278237,TRUE,0.08199247205833861
